Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
" robotnik budowlany"; "Połczyn-Zdrój, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-31"; 
" sprzątaczka"; "Osinów Dolny, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Z.P.H.U. Milektron Halina Wołosz"; "2025-01-07"; 
" Sprzedawca w branży mięsnej"; "Opole, opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Konsorcjum Mięsne ""Okrasa"" Grupa Południe Sp. z o.o"; "2025-02-07"; 
" stażysta w Sekcji Zapobiegawczej Nadzoru Sanitarnego"; "Toruń, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"-*PRACOWNIK BIUROWY"; "Ząbkowice Śląskie, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"(S)Opiekunka domowa"; "Toruń, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Polski Komitet Pomocy Społecznej"; "2025-01-30"; 
"(S)Pielęgniarka"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Fundacja im. Brata Alberta Dom Pomocy Społecznej"; "2025-02-20"; 
"(S)Pielęgniarka w opiece długoterminowej domowej"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Centrum Pielęgnacji Caritas Diecezji Toruńskiej"; "2025-01-30"; 
"(Z)Pracownik fizyczny w Centrum Ogrodniczym"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "TORSEED Przedsiębiorstwo Nasiennictwa Ogrodniczego i Szkółkarstwa S.A."; "2025-02-18"; 
"* Rozbieracz - wykrawacz"; "Starachowice, świętokrzyskie"; "Umowa o pracę na czas określony"; "GIEWONT HG Sp. z o. o. Sp. k."; "2025-02-17"; 
"* Rzeźnik - wędliniarz"; "Starachowice, świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KUBAS - POL Krasocin"; "2025-02-17"; 
"*SPRZEDAWCA"; "Ząbkowice Śląskie, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"*SPRZEDAWCA"; "Ziębice, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"1.Monter konstrukcji stalowych 2.Blacharz/dekarz konstrukcji stalowych"; "Orle, pomorskie"; "Umowa o pracę na czas określony"; "DarStal Jacek Walasek"; "2025-01-17"; 
"124 - Asystent kas samoobsługowych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - Asystent kas samoobsługowych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - Asystent kas samoobsługowych - ul. Beliny-Prażmowskiego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"124 - Magazynier, Operator wózka widłowego"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "LAVORO DUE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-10"; 
"124 - Pracownik ochrony osób i mienia"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "LAVORO DUE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-10"; 
"124 - pracownika sklepu wielobranżowego  "; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"128 - Cieśla Stolarz"; "Cecylówka-Brzózka, mazowieckie"; "Umowa o pracę na okres próbny"; "JURDOM CIESIELSTWO - STOLARSTWO Jerzy Morawski"; "2025-01-31"; 
"129 - Blacharz samochodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; """LOGIS"" PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ZBIGNIEW PETELSKI"; "2025-02-14"; 
"129 - Lakiernik samochodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; """LOGIS"" PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ZBIGNIEW PETELSKI"; "2025-02-14"; 
"129 - Magazynier"; "Kowala, świętokrzyskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"129 - Magazynier - operator wózka widłowego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "GROJSMAX Sp. z o.o."; "2025-02-03"; 
"129 - Spedytor międzynarodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-03"; 
"130 - Elektryk, automatyk"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "MARKUS GRUPA INSTALACYJNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-18"; 
"130 - Inspektor ds. elektrycznych"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "42. BAZA LOTNICTWA SZKOLNEGO RADOM"; "2025-01-29"; 
"130 - instalator-pracownik serwisu"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Gabriel Kopczyński"; "2025-02-06"; 
"130 - Monter instalacji fotowoltaicznych"; "Kosów, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"130 - Operator maszyn CNC Tokarz / frezer"; "Wola Gutowska, mazowieckie"; "Umowa o pracę na okres próbny"; "RADMOT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-02-17"; 
"130 - Podinspektor"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Miejski Ośrodek Pomocy Społecznej"; "2025-02-14"; 
"130 - Pomocnik ślusarza"; "Cerekiew, mazowieckie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-02-10"; 
"130 - pracownik telewizyjny / operator kamery"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-12-02"; 
"130 - Specjalista ds. IT"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"131 - Operator linii produkcyjnej / linii pakowania"; "Jedlińsk, mazowieckie"; "Umowa o pracę na okres próbny"; "UNITED PETFOOD RADOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"131 - sprzątaczka"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"131 - Sprzątaczka"; "Wolanów, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-18"; 
"131 - Stolarz meblowy monter"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"131 - stolarz montażysta meblowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"133 - Cukiernik"; "Wacyn, mazowieckie"; "Umowa o pracę na okres próbny"; "PIEKARNIA WACYN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"133 - Ekspedientka STAŻ MAZOWSZE 45+"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"133 - Kasjer Sprzedawca"; "Wolanów, mazowieckie"; "Umowa o pracę na okres próbny"; "STEFAN Przemysław Stefańczyk"; "2025-01-31"; 
"133 - Piekarz"; "Wacyn, mazowieckie"; "Umowa o pracę na okres próbny"; "PIEKARNIA WACYN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"133 - piekarz-cukiernik"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista d/s turystyki"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Z & Z CENTRUM PODRÓŻY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista do spraw marketingu i handlu"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"133 - Specjalista ds. sprzedaży do działów convenience food oraz produktów s"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-20"; 
"133 - specjalista w sklepie medycznym/sprzedawca/doradca klienta przy zakupie asortymentu sklepu"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Zakład Techniki Medycznej STYMAT Wiesław Wędzonka"; "2025-02-07"; 
"133 - Sprzedawca w branży spożywczej"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"134 - Monter"; "Wielogóra, mazowieckie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBORSTWO KOMUNIKACJI SAMOCHODOWEJ ""RATRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-19"; 
"134 - Pokojowa"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-21"; 
"134 - Pracownik fizyczny"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"134 - Pracownik fizyczny"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "FIRMA HANDLOWA ""PROMOCJA"" EWA WRÓBLEWSKA"; "2025-01-31"; 
"134 - Robotnik gospodarczy"; "Kowala-Stępocina, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-20"; 
"135 - Fizjoterapeuta"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "Bednarska Bogusława"; "2025-01-31"; 
"135 - Fryzjer damsko męski"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Studio fryzur EFEKT Emilia Śledź"; "2025-02-07"; 
"135 - kosmetolog"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-30"; 
"135 - Kucharz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-29"; 
"135 - Kucharz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-06"; 
"135 - pomoc kuchenna"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-29"; 
"135 - Specjalista ds. informacji turystycznej"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"135 - Technik dentystyczny"; "Radom, mazowieckie"; "Nie dotyczy"; "BELLAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-04"; 
"135 -Pizzer"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "WEDA NATURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"136 - Fakturzysta / obsługa klienta"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "APETYT Stanisław Wójcik"; "2025-02-03"; 
"136 - Księgowa/y"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "REGIONALNE CENTRUM KRWIODAWSTWA I KRWIOLECZNICTWA IM.DR KONRADA VIETHA W RADOMIU"; "2025-01-29"; 
"136 - Młodszy referent"; "Jastrzębia, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"136 - Opiekun świetlicy / pracownik biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"136 - Pracownik administracyjno biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"136 - Pracownik Administracyjny w Dziale Realizacji Zamówień"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-01-27"; 
"136 - Pracownik biurowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"136 - Pracownik biurowy"; "Radom, mazowieckie"; "Umowa o pracę w zastępstwie"; "Kancelaria Adwokacka Adwokat Jakub Stachura"; "2025-02-17"; 
"136 - Pracownik biurowy Stażysta"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"136 - Pracownik obsługi klienta"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"136 - Sekretarz sądowy"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"136 - Specjalista ds. członkowsko - organizacyjnych"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-28"; 
"136 - Specjalista ds. kadr i płac"; "Jedlińsk, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"578i - specjalista"; "Świdnica, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "GEOTECH EWA TWARDYSKO"; "2024-12-03"; 
"Adiunkt w Zakładzie Betonu Instytutu Badawczego Dróg i Mostów K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Instytut badawczy dróg i mostów"; "2025-02-07"; 
"administracyjny pomocnik magazynu"; "Szamotuły, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"administrator"; "Piaseczno, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "MŁODZIEŻOWA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""PATRONAT-3"" W PIASECZNIE"; "2025-01-21"; 
"Administrator (pracownik pomocniczy)"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "Zarząd Lokali Miejskich"; "2025-02-19"; 
"administrator ds. technicznych (UmDop/23/0015)"; "Tczew, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
"administrator nieruchomości"; "Biała Podlaska, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"administrator nieruchomości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Administrator nieruchomości"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "TPS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-01-22"; 
"Administrator nieruchomości"; "Grudziądz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Miejskie Przedsiębiorstwo Gospodarki Nieruchomościami Sp. z o.o."; "2025-02-18"; 
"Administrator nieruchomości - ADMINISTRATOR Sp. z o.o."; "Szczytno, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Administrator nieruchomości - staż FP"; "Warszawa, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Administrator nieruchomości wspólnot mieszkaniowych K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "ALINA GOSZCZYŃSKA-MALESA PRZEDSIĘBIORSTWO USŁUGOWO-ADMINISTRACYJNE ""MARIKS"""; "2025-02-11"; 
"Administrator Nieruchomości/ Zarządca Nieruchomości"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "PREMIO ZARZĄDZANIE NIERUCHOMOŚCIAMI S.C"; "2025-01-30"; 
"Administrator sieci komputerowej"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "DOLNOŚLĄSKI ZESPÓŁ PARKÓW KRAJOBRAZOWYCH"; "2025-01-29"; 
"Administrator systemów komputerowych"; "Żnin, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "VAPE RIDE spółka z ograniczoną odpowiedzialnością spółka komandytowa"; "2025-01-27"; 
"Administrator systemów komputerowych"; "San Ġiljan, Malta"; "Umowa o pracę na czas nieokreślony"; "kontakt przez OHP"; "2025-01-29"; 
"Administrator systemu informatycznego"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na czas określony"; "PROKURATURA OKRĘGOWA W PIOTRKOWIE TRYB."; "2025-01-24"; 
"Administrator w dziale kadr i plac"; "Pyrzyce, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Anna Klimas - people&pay.ie"; "2024-06-07"; 
"Administrator w dziale Machinery (staż FEDS 2025 pn. Mobilizacja-praca-satysfakcja) E 1/1"; "Wałbrzych, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Administrator w dziale Machinery (staż FEDS 2025 pn. Mobilizacja-praca-satysfakcja) E 1/1"; "Wałbrzych, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Administrator wspólnot mieszkaniowych"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-31"; 
"Agent celny"; "Chełm, lubelskie"; "Umowa o pracę na czas nieokreślony"; "AGRO ANTONIKO PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Agent ds. operacyjnych"; "Nowa Wieś Wrocławska, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INTERKADRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Agent nieruchomości"; "Ostróda, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Agent obsługi klienta w Grecji"; "Stockholm , Szwecja"; "Umowa o pracę na czas określony"; "Lansera AB/Work International "; "2024-11-08"; 
"Agent obsługi płytowej"; "Balice, małopolskie"; "Umowa o pracę na okres próbny"; "AVIATION SUPPORT POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"Agent ochrony/ konwojent R32/2895-1552/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BIURO BEZPIECZEŃSTWA SNAJPER DARIUSZ ZIELIŃSKI - PIOTR ROGOWSKI S.C."; "2024-12-19"; 
"Agent ubezpieczeniowy"; "Susz, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo MARPIT Piotr Wójcik"; "2025-01-20"; 
"Agent ubezpieczeniowy"; "Łódź, łódzkie"; "Umowa o pracę na czas nieokreślony"; "Grupa Finansowa Extender sp. z o.o."; "2025-02-04"; 
"Agent ubezpieczeniowy"; "Piekoszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Ewa Sidło Usługi Finansowo Ubezpieczeniowe Ewa"; "2025-02-17"; 
"Agent ubezpieczeniowy"; "Ostrowiec Świętokrzyski, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Agent ubezpieczeniowy"; "Sieradz, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Agent ubezpieczeniowy"; "Konin, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Agent ubezpieczeniowy"; "Konin, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Agent ubezpieczeniowy"; "Konin, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"AGENT UBEZPIECZENIOWY - PRACOWNIK BIUROWY"; "Stargard, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "MACIEJ SZYPULSKI"; "2025-02-10"; 
"Agronom-technolog ds.produkcji"; "Wałycz, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-01"; 
"agronom/specjalista ds. planowania produkcji rolnej"; "Krzyżanów, łódzkie"; "Umowa o pracę na okres próbny"; "EUROVEG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"akustyk/oświetleniowiec"; "Góra, dolnośląskie"; "Umowa o pracę na czas określony"; "Dom Kultury w Górze"; "2025-01-07"; 
"Alpinista przemysłowy"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Projekt - drewno Sławomir Biernacki"; "2025-01-31"; 
"Analityk ds. Doskonalenia Procesów Finansowych"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-20"; 
"analityk ds. logistyki"; "Pabianice, łódzkie"; "Umowa o pracę na okres próbny"; "PABIANICKA FABRYKA NARZĘDZI ""PAFANA"" SPÓŁKA AKCYJNA"; "2025-02-14"; 
"Analityk finansowy"; "Poznań, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "314DEVS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-21"; 
"Analityk kredytowy"; "Łasin, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy w Łasinie"; "2025-02-10"; 
"Analityk Kredytowy"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-02-19"; 
"analityk/weryfikator ekspozycji kredytowych"; "Szczekociny, śląskie"; "Umowa o pracę na okres próbny"; "Bank Spółdzielczy w Szczekocinach"; "2025-01-08"; 
"Animator"; "Kiczyce, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-02-17"; 
"Animator /pomoc animatora"; "Żory, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-16"; 
"Animator czasu wolnego / Pracownik Kulturalno - Oświatowy"; "Katowice, śląskie"; "Umowa o pracę w zastępstwie"; "SENIOR RESIDENCE DOM POMOCY SPOŁECZNEJ - ODDZIAŁ FUNDACJI LAURENTIUS"; "2025-02-13"; 
"Animator i koordynator sali urodzinowej - osoba z orzeczeniem o lekkim lub umarkowanym stopniu niepełnosprawności - 3/4 etatu (nr 0253)"; "Inowrocław, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "BLOTT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ NON PROFIT"; "2025-02-04"; 
